developer,complex,metro,metro_walk_time,rooms,area,price,price_per_metre,building,floor,check_in,address,lag,log,distance_to_mkad,description,metro_car_time,metro_distance,metro_public_transport_time,district,district_population,district_avg_salary
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.4 м2,17 532 633 ₽,456 579 ₽ за м2,5.5,11/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.7 м2,17 543 051 ₽,491 402 ₽ за м2,5.5,23/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.3 м2,17 593 025 ₽,498 386 ₽ за м2,5.3,11/13,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,36.2 м2,17 613 182 ₽,486 552 ₽ за м2,5.7,2/13,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.3 м2,17 634 115 ₽,499 551 ₽ за м2,5.2,11/13,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.8 м2,17 640 808 ₽,492 761 ₽ за м2,5.7,12/13,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,37.1 м2,17 673 215 ₽,476 367 ₽ за м2,5.5,9/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.8 м2,17 675 534 ₽,493 731 ₽ за м2,5.7,12/13,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,36.2 м2,17 686 921 ₽,488 589 ₽ за м2,5.7,3/13,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.6 м2,17 740 019 ₽,459 586 ₽ за м2,5.4,2/27,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.9 м2,17 753 376 ₽,456 385 ₽ за м2,5.5,2/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,35.3 м2,17 839 561 ₽,505 371 ₽ за м2,5.1,2/13,2 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
Среда,Среда на Лобачевского,Аминьевская,7 мин,1,38.9 м2,17 843 935 ₽,458 713 ₽ за м2,5.5,5/27,4 квартал 2027,,55.69144,37.458804,,"Жилой комплекс бизнес-класса «Среда на Лобачевского» строится на западе Москвы — в Очаково-Матвеевском создается кластер для комфортной жизни в мегаполисе. Продуманный современный экстерьер и функциональные планировки внутри, приватные пространства и разнообразные досуговые зоны для каждого члена семьи — все это «Среда на Лобачевского».",,,,,,
